model_name,parameters,f1,accuracy,precision,recall,confusion_matrix,RQ,Window Size,Hop Length,Correlation Treshold
xgb,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42}",0.7246187363834422,0.7256944444444444,0.7292768959435626,0.7256944444444444,"[[573 291]
 [183 681]]",1,1.0,0.5,0.7
xgb,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'random_state': 42}",0.7220636366658462,0.7228009259259259,0.7251904004332667,0.7228009259259259,"[[580 284]
 [195 669]]",1,1.0,0.5,0.7
xgb,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'random_state': 42}",0.7296228645105834,0.7303240740740741,0.7327384562072252,0.7303240740740741,"[[587 277]
 [189 675]]",1,1.0,0.5,0.7
xgb,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'random_state': 42}",0.7259088233962606,0.7262731481481481,0.7274826369950184,0.7262731481481481,"[[596 268]
 [205 659]]",1,1.0,0.5,0.7
xgb,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42}",0.7161308392086738,0.7175925925925926,0.7221687274318853,0.7175925925925926,"[[558 306]
 [182 682]]",1,1.0,0.5,0.7
xgb,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'random_state': 42}",0.7204901833193608,0.7216435185185185,0.7253631627336806,0.7216435185185185,"[[568 296]
 [185 679]]",1,1.0,0.5,0.7
xgb,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'random_state': 42}",0.7287051589576186,0.7297453703703703,0.73332385548135,0.7297453703703703,"[[577 287]
 [180 684]]",1,1.0,0.5,0.7
xgb,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'random_state': 42}",0.7325705100681189,0.7332175925925926,0.7354968610969456,0.7332175925925926,"[[591 273]
 [188 676]]",1,1.0,0.5,0.7
randomforest,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.3971130330785892,0.399171270718232,0.3965350587212278,0.399171270718232,"[[ 88  79  84]
 [ 49 117  67]
 [ 92  64  84]]",2,1.0,0.5,0.7
randomforest,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.4088827019496836,0.4116022099447514,0.4079400355473723,0.4116022099447514,"[[ 90  79  82]
 [ 53 123  57]
 [ 93  62  85]]",2,1.0,0.5,0.7
randomforest,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.3963141142360975,0.399171270718232,0.3954109512078008,0.399171270718232,"[[ 85  82  84]
 [ 55 120  58]
 [ 92  64  84]]",2,1.0,0.5,0.7
randomforest,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.3780360856733235,0.3798342541436464,0.3779668222221772,0.3798342541436464,"[[ 80  78  93]
 [ 53 110  70]
 [ 87  68  85]]",2,1.0,0.5,0.7
randomforest,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.3917844831656986,0.3950276243093922,0.3912343416237252,0.3950276243093922,"[[ 80  82  89]
 [ 48 120  65]
 [ 89  65  86]]",2,1.0,0.5,0.7
