Dataset,RQ,Model,Parameter,F1 Score,Accuracy,Precision,Recall
2,2,gradientboosting,200.0,0.38688696523513455,0.3868808567603748,0.38725930360171607,0.3877575086607739
2,2,gradientboosting,500.0,0.3602293558149589,0.36010709504685406,0.36132839353077945,0.3608755055094524
2,2,extratrees,10.0,0.3460658339625486,0.34805890227576974,0.3477061537636139,0.34737452590066525
2,2,extratrees,25.0,0.3123939689845512,0.31459170013386883,0.3128974341219875,0.3142296273371359
2,2,extratrees,50.0,0.3497213922820541,0.3507362784471218,0.3515066648363108,0.35008527363351183
2,2,extratrees,100.0,0.36488381748122006,0.3654618473895582,0.36480412386541555,0.36525245380940374
2,2,extratrees,200.0,0.37962450198699865,0.38018741633199465,0.37931327006045673,0.38038072931515954
2,2,extratrees,500.0,0.3748712684327104,0.3748326639892905,0.3749046692607004,0.3748399261943826
2,5,svm,0.001,0.18218565035368847,0.37604290822407627,0.1253476360746921,0.3333333333333333
2,5,svm,0.01,0.18218565035368847,0.37604290822407627,0.1253476360746921,0.3333333333333333
2,5,svm,0.5,0.19969208049052467,0.3766388557806913,0.24476074048201188,0.3358190880067818
2,5,svm,1.0,0.19969208049052467,0.3766388557806913,0.24476074048201188,0.3358190880067818
2,5,svm,5.0,0.20246177623226805,0.37842669845053634,0.257776829528483,0.3376648730813962
2,5,svm,10.0,0.20246177623226805,0.37842669845053634,0.257776829528483,0.3376648730813962
2,5,svm,20.0,0.2037110951738058,0.37842669845053634,0.24405558166720898,0.337795372591762
2,5,svm_rbf,0.001,0.18218565035368847,0.37604290822407627,0.1253476360746921,0.3333333333333333
2,5,svm_rbf,0.01,0.18218565035368847,0.37604290822407627,0.1253476360746921,0.3333333333333333
2,5,svm_rbf,0.5,0.19969208049052467,0.3766388557806913,0.24476074048201188,0.3358190880067818
2,5,svm_rbf,1.0,0.19969208049052467,0.3766388557806913,0.24476074048201188,0.3358190880067818
2,5,svm_rbf,5.0,0.20246177623226805,0.37842669845053634,0.257776829528483,0.3376648730813962
2,5,svm_rbf,10.0,0.20246177623226805,0.37842669845053634,0.257776829528483,0.3376648730813962
2,5,svm_rbf,20.0,0.2037110951738058,0.37842669845053634,0.24405558166720898,0.337795372591762
2,5,randomforest,10.0,0.4175980982398136,0.432657926102503,0.42678520429718864,0.4213912091878726
2,5,randomforest,25.0,0.4232004747836417,0.4404052443384982,0.43346520459448556,0.42812547215012314
