Dataset,RQ,Model,Parameter,F1 Score,Accuracy,Precision,Recall
2,1,gradientboosting,100.0,0.7037347682445318,0.7061978545887961,0.7118882809238138,0.7054862247681397
2,1,gradientboosting,200.0,0.7026799557032115,0.7044100119189511,0.7081374767873723,0.7038225700127296
2,1,gradientboosting,500.0,0.6969004213781966,0.698450536352801,0.7015446674537584,0.6979024595380978
2,1,extratrees,10.0,0.6547785162641708,0.6549463647199046,0.6555930682279536,0.6551759410801964
2,1,extratrees,25.0,0.6954702871186835,0.6966626936829559,0.698888980105629,0.6961890798326968
2,1,extratrees,50.0,0.6908568980291345,0.6924910607866508,0.6955940095208312,0.6919326241134751
2,1,extratrees,100.0,0.6970269028554674,0.6990464839094159,0.7032805401872723,0.6984139161665757
2,1,extratrees,200.0,0.6970910841385002,0.699642431466031,0.7052111057697945,0.6989253727950537
2,1,extratrees,500.0,0.6985152014069419,0.701430274135876,0.7080220102303976,0.700658642480451
2,2,svm,0.001,0.16261808367071526,0.32262382864792505,0.10754127621597502,0.3333333333333333
2,2,svm,0.01,0.16261808367071526,0.32262382864792505,0.10754127621597502,0.3333333333333333
2,2,svm,0.5,0.30303191895571474,0.34404283801874164,0.340379347835785,0.350427699571826
2,2,svm,1.0,0.30100897567041773,0.3413654618473896,0.3378577214146381,0.3476559147342771
2,2,svm,5.0,0.3070782055133591,0.3427041499330656,0.34618167767573543,0.34860019591959607
2,2,svm,10.0,0.3097713742809279,0.3427041499330656,0.34944684944684945,0.3483835401343495
2,2,svm,20.0,0.30747155421068467,0.34002677376171353,0.3447579768788335,0.3456617261842198
2,2,svm_rbf,0.001,0.16261808367071526,0.32262382864792505,0.10754127621597502,0.3333333333333333
2,2,svm_rbf,0.01,0.16261808367071526,0.32262382864792505,0.10754127621597502,0.3333333333333333
2,2,svm_rbf,0.5,0.30303191895571474,0.34404283801874164,0.340379347835785,0.350427699571826
2,2,svm_rbf,1.0,0.30100897567041773,0.3413654618473896,0.3378577214146381,0.3476559147342771
2,2,svm_rbf,5.0,0.3070782055133591,0.3427041499330656,0.34618167767573543,0.34860019591959607
2,2,svm_rbf,10.0,0.3097713742809279,0.3427041499330656,0.34944684944684945,0.3483835401343495
2,2,svm_rbf,20.0,0.30747155421068467,0.34002677376171353,0.3447579768788335,0.3456617261842198
2,2,randomforest,10.0,0.3127871154105601,0.31593038821954483,0.3153627058373176,0.31522664596419486
2,2,randomforest,25.0,0.35257246254305824,0.35475234270414996,0.3557932632267955,0.35476513801788356
2,2,randomforest,50.0,0.34447531848467117,0.3453815261044177,0.3470953740296832,0.3453415839764113
2,2,randomforest,100.0,0.34511037208092815,0.3453815261044177,0.34503653072074125,0.3456332825476092
2,2,randomforest,200.0,0.33371173290574935,0.33467202141900937,0.33460470085470084,0.33405162161257307
2,2,randomforest,500.0,0.33614471280629576,0.3360107095046854,0.33619239483741725,0.3362986040636922
2,2,gradientboosting,10.0,0.39093118029867147,0.3908969210174029,0.39092937988203413,0.3911208390077416
2,2,gradientboosting,25.0,0.3789035590437276,0.3788487282463186,0.37885157904614614,0.3789893037877436
2,2,gradientboosting,50.0,0.3826530153057848,0.3828647925033467,0.3826854812465837,0.384122018532499
2,2,gradientboosting,100.0,0.36831671127087096,0.36813922356091033,0.3685304499802247,0.3686159354523108
2,2,gradientboosting,200.0,0.3602523167455802,0.36010709504685406,0.3611571017702197,0.36100881884578534
